"nt","np","dg","est","rep","design","error_flag","rvar_y","mean_alph","mean_beta","var_alph","cov_ab","var_beta","se_rvar_y","se_mean_alph","se_mean_beta","se_var_alph","se_cov_ab","se_var_beta","Chi-square : Value","Chi-square : Degrees of Freedom","Chi-square : P-Value","CFI","TLI","H0 Loglikelihood","H1 Loglikelihood","Number of Free Parameters","Akaike (AIC)","Bayesian (BIC)","Sample-Size Adjusted BIC","RMSEA : Estimate","RMSEA : Low CI","RMSEA : High CI","RMSEA : Probability","SRMR"
"18",14,100,"LCM","LCM",1,"CSD_1dayOL",0,1.225404,1.2175668,0.029940575,0.10328515,0.14454941,0.047794487,0.087518714,0.13790165,0.033734184,0.20565352,0.061925288,0.016682683,67.227282,57,0.16663964,0.97846855,0.98677894,-945.24521,-911.63157,6,1902.4904,1918.1214,1899.1719,0.042358706,0,0.078237709,0.60004014,0.23046575
"19",14,100,"LCM","LCM",1,"CSD_2dayOL",0,1.2795529,1.2047697,0.03897173,-0.028560352,0.15371747,0.056794487,0.093795054,0.14699671,0.036728632,0.19756271,0.077314809,0.021208888,69.352353,59,0.16779027,0.97669617,0.98538573,-905.361,-870.68482,6,1822.722,1838.353,1819.4035,0.041888376,0,0.077363316,0.60956133,0.15743702
"20",14,100,"LCM","LCM",1,"reference",0,1.2617738,1.1569728,0.037577614,0.16342257,0.052149199,0.077894896,0.08272972,0.090323456,0.029889368,0.11071024,0.028003551,0.012669787,86.027679,76,0.20224155,0.98229161,0.98741772,-1172.1703,-1129.1565,6,2356.3406,2371.9716,2353.0221,0.036323978,0,0.069809576,0.71269284,0.12863873
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",14,100,"LCM","LCM",1,"random_5",0,1.2858477,1.127611,0.05022734,0.3321034,-0.040181793,0.098114438,0.10410993,0.12127035,0.034328226,0.21547578,0.045390818,0.017254611,NA,113,NA,NA,NA,-941.11477,NA,6,1894.2295,1909.8606,1890.9111,NA,NA,NA,NA,NA
"23",14,100,"LCM","LCM",1,"TCDM_8",0,1.3078301,1.0953858,0.050036531,0.14802666,0.027644327,0.083048031,0.075477533,0.081669897,0.030245287,0.098707251,0.024935981,0.012945884,79.714401,77,0.39365203,0.99600498,0.99714642,-1431.4198,-1391.5626,6,2874.8397,2890.4707,2871.5212,0.018775507,0,0.060430041,0.86499312,0.10510682
"24",14,100,"LCM","LCM",1,"random_8",0,1.1525391,1.172165,0.039677463,0.34413013,0.029299742,0.078939594,0.066436581,0.095040865,0.029817393,0.13140796,0.029027777,0.012589386,172.05517,113,0.00029003983,0.92860512,0.94250501,-1392.8272,-1306.7996,6,2797.6543,2813.2854,2794.3358,0.072291916,0.049436933,0.093342011,0.053797431,0.090425944
"25",14,100,"LCM","LCM",2,"complete",0,1.2328078,0.95774633,0.047838915,0.19537397,0.044428341,0.068840265,0.050329216,0.071580842,0.027250541,0.073608398,0.019580763,0.010504177,89.252867,113,0.95164552,1,1.0134842,-2351.8448,-2307.2183,6,4715.6895,4731.3205,4712.371,0,0,0,0.999347,0.062332634
"26",14,100,"LCM","LCM",2,"CSD_1dayOL",0,1.2215157,1.0742857,0.039202843,0.039995786,0.065496922,0.055744771,0.088757001,0.12954493,0.03401541,0.19129807,0.052030575,0.016912069,74.335404,57,0.061265846,0.95967166,0.97523698,-937.10277,-899.93507,6,1886.2055,1901.8366,1882.8871,0.055147974,0,0.087596684,0.38515681,0.19863083
"27",14,100,"LCM","LCM",2,"CSD_2dayOL",0,1.2230706,1.0792106,0.032243233,0.19623125,0.018789651,0.071661979,0.092519134,0.15461451,0.037673753,0.25972101,0.068119802,0.020480014,68.322199,59,0.19013762,0.97649468,0.98525938,-893.22476,-859.06366,6,1798.4495,1814.0805,1795.131,0.039749637,0,0.075937043,0.6402217,0.15786838
