"nt","np","dg","est","rep","design","error_flag","rvary","meanb1","inty","varb1","covb0b1","varb0","se_rvary","se_meanb1","se_inty","se_varb1","se_covb0b1","se_varb0","Chi-square : Value","Chi-square : Degrees of Freedom","Chi-square : P-Value","CFI","TLI","H0 Loglikelihood","H1 Loglikelihood","Number of Free Parameters","Akaike (AIC)","Bayesian (BIC)","Sample-Size Adjusted BIC","RMSEA : Estimate","RMSEA : Low CI","RMSEA : High CI","RMSEA : Probability","SRMR"
"19",14,100,"LCM","MLM",1,"CSD_2dayOL",0,1.4164726,0.017584257,1.4450748,0.0060784008,-0.071906531,4.9611723,0.11398425,0.027653447,0.22953211,0.013277654,0.062735889,0.74477193,NA,NA,NA,NA,NA,-945.90227,NA,6,1903.8045,1929.0922,1910.0478,NA,NA,NA,NA,NA
"20",14,100,"LCM","MLM",1,"reference",0,2.7517623,0.014326885,1.418757,0.0081333919,-0.098225612,4.1995444,0.17946783,0.031794515,0.21536686,0.016471186,0.070731589,0.65610418,NA,NA,NA,NA,NA,-1373.9215,NA,6,2759.843,2786.7048,2767.6549,NA,NA,NA,NA,NA
"21",14,100,"LCM","MLM",1,"TCDM_5",0,4.0682379,-0.026449474,1.4483993,0.015941315,-0.09416272,3.3656648,0.32475206,0.04430669,0.20520076,0.034306875,0.088405635,0.59708001,NA,NA,NA,NA,NA,-1146.0251,NA,6,2304.0502,2329.3379,2310.2935,NA,NA,NA,NA,NA
"22",14,100,"LCM","MLM",1,"random_5",0,2.7870042,0.041800464,1.5605411,0.0061912399,-0.0035759905,3.8733054,0.22534299,0.036246921,0.21119023,0.025497359,0.085272168,0.64073832,NA,NA,NA,NA,NA,-1071.6068,NA,6,2155.2136,2180.5013,2161.4569,NA,NA,NA,NA,NA
"23",14,100,"LCM","MLM",1,"TCDM_8",0,3.177342,0.011457321,1.4200292,0.0042297499,-0.0093723902,3.7508317,0.18014127,0.028900736,0.20384436,0.013247711,0.060691992,0.5883768,NA,NA,NA,NA,NA,-1717.2869,NA,6,3446.5737,3474.6814,3455.6281,NA,NA,NA,NA,NA
"24",14,100,"LCM","MLM",1,"random_8",0,2.4334796,-0.025751662,1.4227696,0.0077676932,-0.13005231,4.1564244,0.13856391,0.026567232,0.21135277,0.010113771,0.056749209,0.63159708,NA,NA,NA,NA,NA,-1628.4658,NA,6,3268.9315,3297.0392,3277.9859,NA,NA,NA,NA,NA
"25",14,100,"LCM","MLM",2,"complete",0,2.4539103,-0.013994873,1.2709872,0.0039079013,-0.032525579,3.6060892,0.10026255,0.0193057,0.19450135,0.0054288339,0.038807102,0.53506774,NA,NA,NA,NA,NA,-2773.5659,NA,6,5559.1318,5590.5972,5571.5374,NA,NA,NA,NA,NA
"26",14,100,"LCM","MLM",2,"CSD_1dayOL",0,1.2924896,0.0043021025,1.3231328,0.013299517,-0.057155002,3.9751129,0.098696842,0.026264767,0.20577071,0.01015709,0.05446442,0.5988772,NA,NA,NA,NA,NA,-977.42218,NA,6,1966.8444,1992.5155,1973.4696,NA,NA,NA,NA,NA
"27",14,100,"LCM","MLM",2,"CSD_2dayOL",0,1.2731824,-0.016917912,1.2974757,0.02475829,-0.049992186,4.2555331,0.10313154,0.029727234,0.21299556,0.013264779,0.062270401,0.64012004,NA,NA,NA,NA,NA,-930.04181,NA,6,1872.0836,1897.3713,1878.3269,NA,NA,NA,NA,NA
"28",14,100,"LCM","MLM",2,"reference",0,2.5470573,-0.042375792,1.2985681,0.012257851,-0.073014661,3.6672917,0.16807103,0.031437573,0.20183327,0.014009021,0.06504434,0.57717109,NA,NA,NA,NA,NA,-1348.6169,NA,6,2709.2338,2736.0956,2717.0458,NA,NA,NA,NA,NA
"29",14,100,"LCM","MLM",2,"TCDM_5",0,3.6218909,-0.056528099,1.2436194,0.016071372,-0.11058095,3.1678108,0.30506167,0.043412086,0.20014977,0.025530098,0.086742441,0.57051623,NA,NA,NA,NA,NA,-1011.1085,NA,6,2034.217,2058.8725,2039.8308,NA,NA,NA,NA,NA
"30",14,100,"LCM","MLM",2,"random_5",0,2.1521409,0.027048108,1.3149163,0.024922945,-0.055187071,4.306211,0.17005903,0.034974324,0.21834281,0.017153966,0.077704412,0.67530807,NA,NA,NA,NA,NA,-1032.2512,NA,6,2076.5025,2101.7901,2082.7458,NA,NA,NA,NA,NA
"31",14,100,"LCM","MLM",2,"TCDM_8",0,2.7831714,-0.017701051,1.2406453,0.0039439474,-0.046392088,3.4634072,0.15716028,0.026914125,0.1953055,0.011488722,0.056495075,0.53979182,NA,NA,NA,NA,NA,-1666.4521,NA,6,3344.9042,3373.0118,3353.9585,NA,NA,NA,NA,NA
"32",14,100,"LCM","MLM",2,"random_8",0,2.3911757,-0.025230523,1.2725697,0.0072324319,0.0042609548,4.0302354,0.13694412,0.02631711,0.20820807,0.0097905354,0.054849811,0.61303649,NA,NA,NA,NA,NA,-1623.1039,NA,6,3258.2079,3286.3155,3267.2622,NA,NA,NA,NA,NA
"33",14,300,"LCM","MLM",1,"complete",0,2.8320202,-0.01016545,1.0664225,0.0019409858,-0.09184585,4.7867548,0.06658342,0.012015108,0.12896088,0.0034867726,0.027438944,0.4075078,NA,NA,NA,NA,NA,-8627.5248,NA,6,17267.05,17305.107,17286.041,NA,NA,NA,NA,NA
