"nt","np","dg","est","rep","design","error_flag","ARproc","varinity","procnoise","se_ARproc","se_varinity","se_procnoise","Chi-square : Value","Chi-square : Degrees of Freedom","Chi-square : P-Value","CFI","TLI","H0 Loglikelihood","H1 Loglikelihood","Number of Free Parameters","Akaike (AIC)","Bayesian (BIC)","Sample-Size Adjusted BIC","RMSEA : Estimate","RMSEA : Low CI","RMSEA : High CI","RMSEA : Probability","SRMR"
"24",14,100,"LCM","AR",1,"random_8",0,0.034310404,1888.5491,1480.3492,0.031675518,287.70355,41.317081,19553.278,116,0,0,-0.45641943,-14551.777,-4775.1377,3,29109.553,29120.458,29110.945,0.77358798,0.76446745,0.78274806,0,68.022812
"25",14,100,"LCM","AR",2,"complete",0,0.019802725,2322.0869,1046.402,0.014839064,285.70694,24.528055,24782.259,116,0,0,-0.76208651,-19354.032,-6962.9029,3,38714.064,38724.969,38715.456,0.87145232,0.86233245,0.88060734,0,49.00433
"26",14,100,"LCM","AR",2,"CSD_1dayOL",0,0.66979527,1985.446,1383.4803,0.01626236,288.17368,44.442505,17190.538,116,0,0,-0.28114858,-12176.186,-3580.9169,3,24358.372,24369.276,24359.763,0.72504751,0.71592642,0.73421076,0,136.20753
"27",14,100,"LCM","AR",2,"CSD_2dayOL",0,0.68586683,2000.4829,1368.4441,0.015641179,288.21387,44.701782,NA,116,NA,NA,NA,-11883.596,NA,3,23773.193,23784.097,23774.584,NA,NA,NA,NA,NA
"28",14,100,"LCM","AR",2,"reference",0,0.57010818,1906.2943,1462.6241,0.021814479,288.19678,44.600597,18107.673,116,0,0,-0.36971381,-13235.989,-4182.1521,3,26477.977,26488.881,26479.369,0.74426528,0.73514444,0.75342722,0,108.1296
"29",14,100,"LCM","AR",2,"TCDM_5",0,0.68051523,1946.8418,1422.0854,0.016111111,288.72736,47.900551,NA,110,NA,NA,NA,-11475.358,NA,3,22956.716,22967.62,22958.108,NA,NA,NA,NA,NA
"30",14,100,"LCM","AR",2,"random_5",0,0.68756896,2004.5084,1364.3419,0.015538625,288.17816,44.553829,NA,116,NA,NA,NA,-11881.528,NA,3,23769.055,23779.96,23770.447,NA,NA,NA,NA,NA
"31",14,100,"LCM","AR",2,"TCDM_8",0,0.030343261,1883.9852,1484.9398,0.031326521,287.73557,41.508484,19432.745,116,0,0,-0.46279071,-14515.148,-4798.7761,3,29036.297,29047.201,29037.688,0.77118568,0.76206513,0.78034591,0,68.941936
"32",14,100,"LCM","AR",2,"random_8",0,0.032406252,1884.0895,1484.849,0.031436864,287.73752,41.506622,19551.154,116,0,0,-0.45495041,-14515.096,-4739.5189,3,29036.191,29047.096,29037.583,0.7735457,0.76442517,0.78270578,0,68.742929
"33",14,300,"LCM","AR",1,"complete",0,0.0046413229,20821.986,9285.041,0.0085613355,1474.437,125.65723,93176.681,116,0,0,-1.0133958,-70901.407,-24313.066,3,141808.81,141823.01,141813.49,0.9772698,0.97200404,0.98254604,0,407.25229
"34",14,300,"LCM","AR",1,"CSD_1dayOL",0,0.66139734,17562.209,12544.763,0.0096486546,1487.4045,232.83865,NA,116,NA,NA,NA,-44328.315,NA,3,88662.631,88676.831,88667.304,NA,NA,NA,NA,NA
"35",14,300,"LCM","AR",1,"CSD_2dayOL",0,0.67821652,17695.973,12410.778,0.0092509268,1487.6135,234.30457,NA,116,NA,NA,NA,-43238.555,NA,3,86483.11,86497.311,86487.784,NA,NA,NA,NA,NA
"36",14,300,"LCM","AR",1,"reference",0,0.55571264,16876.535,13230.454,0.013407785,1487.5028,233.45366,64469.053,116,0,0,-0.4856973,-48175.882,-15941.355,3,96357.763,96371.964,96362.437,0.8126732,0.80740778,0.81795123,0,854.0737
"37",14,300,"LCM","AR",1,"TCDM_5",0,0.6757136,17297.479,12809.546,0.0094431564,1490.0747,249.29771,NA,116,NA,NA,NA,-41700.815,NA,3,83407.63,83421.83,83412.303,NA,NA,NA,NA,NA
"38",14,300,"LCM","AR",1,"random_5",0,0.68156165,17772.42,12334.598,0.0091333603,1487.4402,233.03836,NA,116,NA,NA,NA,-43160.957,NA,3,86327.914,86342.114,86332.587,NA,NA,NA,NA,NA
"39",14,300,"LCM","AR",1,"TCDM_8",0,0.0067955372,16907.322,13199.324,0.016897978,1484.3978,213.00597,70138.558,116,0,0,-0.6075027,-52854.225,-17784.946,3,105714.45,105728.65,105719.12,0.84771594,0.84245045,0.85299351,0,570.35264
"40",14,300,"LCM","AR",1,"random_8",0,0.006676109,16925.098,13181.914,0.016858341,1484.3726,212.58464,70741.049,116,0,0,-0.60223013,-52910.813,-17540.289,3,105827.63,105841.83,105832.3,0.8513551,0.84608961,0.85663263,0,583.23516
"41",14,300,"LCM","AR",2,"complete",0,0.0053894636,20821.586,9285.3311,0.0085613672,1474.4265,125.66089,92898.236,116,0,0,-0.99174629,-70901.588,-24452.47,3,141809.18,141823.38,141813.85,0.97580666,0.97054091,0.98108292,0,389.00644
"42",14,300,"LCM","AR",2,"CSD_1dayOL",0,0.66201359,17577.844,12527.865,0.0096289581,1487.2312,232.50792,NA,116,NA,NA,NA,-44325.059,NA,3,88656.117,88670.317,88660.79,NA,NA,NA,NA,NA
"43",14,300,"LCM","AR",2,"CSD_2dayOL",0,0.67871487,17710.828,12395.863,0.0092359912,1487.5612,234.0081,NA,116,NA,NA,NA,-43235.725,NA,3,86477.451,86491.651,86482.124,NA,NA,NA,NA,NA
"44",14,300,"LCM","AR",2,"reference",0,0.55664015,16889.773,13217.25,0.013352277,1487.4636,233.18437,64200.332,116,0,0,-0.4776438,-48173.522,-16073.357,3,96353.045,96367.245,96357.718,0.81097467,0.80570926,0.81625272,0,804.81722
"45",14,300,"LCM","AR",2,"TCDM_5",0,0.67818999,17696.314,12410.253,0.009251168,1487.5944,234.29463,NA,116,NA,NA,NA,-43238.38,NA,3,86482.76,86496.96,86487.433,NA,NA,NA,NA,NA
"46",14,300,"LCM","AR",2,"random_5",0,0.67886835,17711.385,12395.229,0.0092285983,1487.5634,234.06958,NA,116,NA,NA,NA,-43218.236,NA,3,86442.473,86456.673,86447.146,NA,NA,NA,NA,NA
"47",14,300,"LCM","AR",2,"TCDM_8",0,0.0082115298,16907.633,13199.31,0.016965404,1484.426,213.00394,69877.748,116,0,0,-0.60045029,-52854.275,-17915.401,3,105714.55,105728.75,105719.22,0.84613574,0.84087025,0.85141333,0,546.77382
"48",14,300,"LCM","AR",2,"random_8",0,0.008165135,16880.125,13226.818,0.017047251,1484.5222,213.67163,70195.044,116,0,0,-0.59152454,-52763.627,-17666.105,3,105533.25,105547.45,105537.93,0.84805779,0.8427923,0.85333536,0,553.37009
