         *         *    -0.177         *     1.335         *     3.444     4.364         *     4.334         *         *         *         *    -0.026     0.715    -0.048     0.934    -0.065     0.863    -0.089     0.712     0.682     0.815     0.930     0.598     1.300     0.815     1.771     0.598     1.837     0.000     0.946     0.815     1.290     0.598     0.000     1.011     0.000     1.011     0.000     1.011     0.000     1.011
    -0.664    -0.981         *         *     0.354         *     2.168         *         *         *         *         *         *     0.802    -0.234     0.600    -0.430     0.600    -0.494     0.000     0.218     0.927     0.298     0.849     0.406     0.680     0.943     0.815     1.285     0.598     0.040     1.005     0.055     1.000     0.075     0.991     0.102     0.973     0.139     0.940     0.190     0.874     0.259     0.737
         *         *         *         *     0.631         *    -0.068         *         *         *     3.438         *     1.774     1.172     0.047     0.737     0.087     0.990     0.118     0.973     0.161     0.939     0.219     0.872     0.298     0.734    -0.195     0.815    -0.265     0.598     0.689     0.970     0.938     0.934     1.279     0.863     1.743     0.712    -0.037     0.815    -0.050     0.598    -0.130     0.000
         *         *         *    -2.084    -2.076         *         *         *     1.069         *     0.705    -0.493         *         *    -0.216     0.730    -0.398     0.972    -0.542     0.937    -0.739     0.869    -1.007     0.726    -0.547     0.000     0.333     0.970     0.453     0.934     0.618     0.863     0.842     0.712     0.062     0.815     0.084     0.598    -1.010     0.000     0.000     1.011     0.000     1.011
         *     1.347         *         *     2.823     3.199         *         *         *     3.409     2.739         *         *         *     0.293     0.683     0.540     0.849     0.736     0.681     0.675     0.927     0.919     0.849     1.253     0.680     1.128     0.000     0.494     0.970     0.673     0.934     0.917     0.863     1.250     0.712     0.237     0.000     0.000     1.011     0.000     1.011     0.000     1.011
         *         *     1.575         *     0.329         *     1.885     2.462         *         *     1.725         *         *         *     0.232     0.715     0.427     0.934     0.582     0.863     0.793     0.712    -0.247     0.815    -0.337     0.598     0.814     0.815     1.110     0.598     1.079     0.000     0.222     0.927     0.302     0.849     0.411     0.680     0.000     1.011     0.000     1.011     0.000     1.011
    -0.396    -0.893         *         *    -1.822         *     1.094         *         *         *     0.062         *         *         *    -0.140     0.600    -0.257     0.600    -0.602     0.000    -0.433     0.927    -0.590     0.849    -0.803     0.680     0.990     0.815     1.349     0.598    -0.051     0.970    -0.069     0.934    -0.094     0.863    -0.129     0.712     0.000     1.011     0.000     1.011     0.000     1.011
     3.038     4.234     1.960         *         *         *         *     1.774         *         *    -1.543         *         *         *     1.070     0.600     1.968     0.600     2.004     0.000    -1.147     0.000     0.190     0.990     0.259     0.972     0.353     0.937     0.481     0.869     0.656     0.726    -0.661     0.927    -0.900     0.849    -1.227     0.680     0.000     1.011     0.000     1.011     0.000     1.011
     3.700     1.501         *         *         *    -0.917         *         *    -1.785    -1.666         *         *         *         *     1.303     0.600     2.397     0.600    -1.214     0.000    -0.269     0.970    -0.367     0.934    -0.500     0.863    -0.681     0.712    -0.419     0.927    -0.571     0.849    -0.778     0.680    -0.356     0.000     0.000     1.011     0.000     1.011     0.000     1.011     0.000     1.011
         *         *    -2.505    -3.595         *         *         *     3.011         *     1.969     1.144         *         *         *    -0.369     0.715    -0.679     0.934    -0.926     0.863    -1.261     0.712    -1.757     0.000     0.807     0.970     1.100     0.934     1.499     0.863     2.042     0.712     0.166     0.815     0.226     0.598    -0.300     0.000     0.000     1.011     0.000     1.011     0.000     1.011
     0.663     2.639         *         *         *    -0.668     0.967         *         *         *     1.233         *         *         *     0.233     0.600     0.429     0.600     2.153     0.000    -0.285     0.970    -0.389     0.934    -0.530     0.863    -0.722     0.712     1.458     0.000     0.190     0.970     0.258     0.934     0.352     0.863     0.480     0.712     0.000     1.011     0.000     1.011     0.000     1.011
     0.242     1.376         *     1.006         *         *         *         *     0.833         *         *         *     2.153         *     0.085     0.600     0.157     0.600     1.199     0.000     0.126     0.815     0.172     0.598     0.087     0.990     0.118     0.972     0.161     0.937     0.220     0.869     0.299     0.726     0.381     0.970     0.519     0.934     0.707     0.863     0.963     0.712     0.000     1.011
         *         *         *         *     1.262     1.307         *     0.178         *     0.215         *     0.472         *         *     0.094     0.737     0.173     0.990     0.236     0.973     0.322     0.939     0.438     0.872     0.597     0.734     0.380     0.000    -0.251     0.815    -0.342     0.598     0.057     0.815     0.077     0.598     0.170     0.815     0.232     0.598     0.000     1.011     0.000     1.011
         *         *         *         *     0.408         *         *         *         *    -0.887    -0.482    -1.067    -0.707         *     0.030     0.737     0.056     0.990     0.076     0.973     0.104     0.939     0.142     0.872     0.193     0.734    -0.136     0.990    -0.186     0.972    -0.253     0.937    -0.345     0.869    -0.471     0.726     0.169     0.000    -0.713     0.000     0.076     0.000     0.000     1.011
         *         *     0.802         *    -0.946     0.826     2.406     2.492         *         *         *         *         *         *     0.118     0.715     0.217     0.934     0.296     0.863     0.404     0.712    -0.657     0.815    -0.895     0.598     1.521     0.000     1.800     0.000     0.726     0.000     0.000     1.011     0.000     1.011     0.000     1.011     0.000     1.011     0.000     1.011     0.000     1.011
         *         *     2.233     1.398         *     0.196         *         *     1.447         *         *     1.378         *         *     0.329     0.715     0.605     0.934     0.825     0.863     1.124     0.712    -0.241     0.000    -0.266     0.815    -0.362     0.598     0.403     0.927     0.550     0.849     0.749     0.680     0.237     0.927     0.323     0.849     0.441     0.680     0.000     1.011     0.000     1.011
         *         *     0.093         *    -1.698         *         *         *     2.980         *     2.155     1.070         *         *     0.014     0.715     0.025     0.934     0.034     0.863     0.047     0.712    -0.834     0.815    -1.136     0.598     0.691     0.970     0.942     0.934     1.284     0.863     1.750     0.712     0.263     0.815     0.358     0.598    -0.512     0.000     0.000     1.011     0.000     1.011
         *         *         *         *    -0.133    -1.544    -1.110         *         *     0.483         *         *     1.216         *    -0.010     0.737    -0.018     0.990    -0.025     0.973    -0.034     0.939    -0.046     0.872    -0.063     0.734    -1.446     0.000     0.023     0.000     0.271     0.927     0.370     0.849     0.504     0.680     0.302     0.927     0.411     0.849     0.561     0.680     0.000     1.011
         *    -2.547         *         *         *     0.440     0.409    -0.631    -3.082         *         *         *         *         *    -0.555     0.683    -1.021     0.849    -1.391     0.681     0.235     0.970     0.320     0.934     0.436     0.863     0.594     0.712     0.086     0.000    -0.931     0.000    -2.619     0.000     0.000     1.011     0.000     1.011     0.000     1.011     0.000     1.011     0.000     1.011
